"key","nl","en","中文"
"ID_waterpassing","Waterpassing","Leveling","水平测量"
"ID_waterpassing_explanation","Bepalen van hoogteverschillen en afstanden door middel van een waterpastoestel","Exercises about measuring height differences and distances with a leveling device.","关于用水平仪测量高度差和距离的练习。"
"ID_waterpassing_tabel","Waterpassingtabel","Leveling table","水平测量表"
"ID_waterpassing_tabel_explanation","Uitwerken van waterpassing tabellen in verschillende stappen.","Exercises about filling out a leveling table step by step","关于一步步填写水准仪的练习"
"ID_polygonatie","Puntpositionering","Position finding","寻找位置"
"ID_polygonatie_explanation","Bepalen van coördinaten door middel van hoek- en afstandsmetingen","Exercises about determining coordinates using position finding methods and traverses","关于使用定位方法和穿越来确定坐标的练习。"
"ID_mapangle","Coördinaten meten","Coordinates","坐标"
"ID_mapangle_explanation","Bepalen van kaarthoeken en coördinaten","Exercises about measuring map angles and coordinates","测量地图角度和坐标的练习"
"ID_scheefstand","Scheefstand","Other leveling procedures","其他水准测量程序"
"ID_scheefstand_explanation","Bepalen van de scheefstand van een gebouw","Exercises about trigonometric leveling and slanted buildings","三角测量法和倾斜建筑物的练习"
"ID_foutenpropagatie","Foutenpropagatie","Error propagation","误差传播"
"ID_foutenpropagatie_explanation","Bepalen van de afwijkingen over meerdere meetpunten.","Determining the potential errors in measurements","确定测量中的潜在误差"
"ID_waterpassing_scene_heightdiff_2_points","Hoogteverschil 2 punten","Height difference 2 points","高度差2点"
"ID_waterpassing_scene_heightdiff_more_points","Hoogteverschil meerdere punten","Height difference more points","高度差更多的点"
"ID_waterpassing_scene_inverse_beacon","Hoogteverschil omgekeerde baak","Height difference inverse beacon","高度差逆向信标"
"ID_waterpassing_scene_distance_2_points","Afstand 2 punten","Distance between 2 points","2点之间的距离"
"ID_waterpassing_scene_distance_more_points","Afstand meerdere punten","Distance between more points","更多点之间的距离"
"ID_waterpassing_scene_calibration","Calibratie waterpastoestel","Calibration leveling device","校准调平装置"
"ID_waterpassing_scene_circle_resection","Kringwaterpassing","Circular leveling","圆形整平"
"ID_waterpassing_scene_circle_resection_side","Zijslag kringwaterpassing","Side circular leveling","侧面圆形整平"
"ID_waterpassing_scene_circle_resection_peil","Kringwaterpassing peil berekenen","Circular leveling: level","圆形整平：水平"
"ID_waterpassing_scene_circle_resection_peil_vereffenen","Kringwaterpassing peil vereffenen","Circular leveling: final level","圆形整平：最终水平"
"ID_waterpassing_scene_circle_resection_peil_vereffenen_side","Kringwaterpassing peil vereffenen zijslag","Circular leveling with a side shot","侧面的圆形水准仪"
"ID_waterpassing_scene_circle_resection_betrouwbaarheid","Kringwaterpassing betrouwbaarheidsinterval","Circular leveling: confidence interval","循环调平：置信区间"
"ID_waterpassing_scene_circle_resection_sluitfout","Kringwaterpassing sluitfout","Circular levelin: residual error","循环调平：残余误差"
"ID_scheeftand_scene_skew_resection","Trigonometrische waterpassing","Triginiometric leveling","三角测量法"
"ID_scheeftand_scene_skew_building","Scheefstand gebouw","Slant of a building","建筑物的斜度"
"ID_mapangle_scene_mapangle","Bepaal kaarthoek","Determine map angle","确定地图角度"
"ID_mapangle_scene_coordinate","Bepaal coördinaten","Determine coordinates","确定坐标"
"ID_mapangle_scene_coordinate_other_point","Bepaal coördinaten vanuit ander punt","Determine coordinates of other point","确定其他点的坐标"
"ID_mapangle_scene_distance_2_points","Bepaal afstand 2 punten","Determine distance between 2 points","确定两点之间的距离"
"ID_mapangle_scene_coordinate_rotated_axis","Bepaal coördinaten in gedraaid assenstelsel","Determine coordinates in a rotated system","确定旋转系统中的坐标"
"ID_foutenpropagatie_scene_standard_deviation","Standaardafwijking","Standard deviation","标准偏差"
"ID_foutenpropagatie_scene_sigma_a_1_point","Totale fout op 1 punt","Total error on 1 point","1点的总误差"
"ID_foutenpropagatie_scene_min_error","Minimale afwijking","Minimal deviation","最小偏差"
"ID_foutenpropagatie_scene_sigma_a_more_points","Totale fout over meer dan 1 punt","Total error on more point","多个点的总误差"
"ID_polygonatie_scene_forward_cut","Voorwaartse insnijding","Intersection","相交"
"ID_polygonatie_scene_backward_cut","Achterwaartse insnijding","Resection","切断"
"ID_polygonatie_scene_polygonation_table","Polygonatietabel","Traverse table","横切表"
"ID_polygonatie_scene_bilateration","Bilateratie","Bilateration","分层分析"
"ID_waterpassing_question_1_title","Bepaal het hoogteveschil tussen A & B","Calculate the height difference between A & B","计算A和B之间的高度差"
"ID_waterpassing_question_1_explanation","Plaats de meetbaken op de {nrOfPoints} meetpunten en meet met het waterpastoestel het verschil tussen beide punten.","Place the measuring staff on the points and use the leveling device to determine the height difference","将测量杖放在两点上，用水平仪来确定高度差。"
"ID_waterpassing_question_1_answer","Het hoogteverschil kan gevonden worden door beide middendraden te vergelijken","Compare the middle lines","比较中间的线"
"ID_waterpassing_question_2_title","Bepaal het hoogteveschil tussen A & D","Calculate the height difference between A & D","计算A和D之间的高度差"
"ID_waterpassing_question_2_explanation","Plaats de meetbaken op de {nrOfPoints} meetpunten en meet met het waterpastoestel het hoogteverschil tussen de punten A en D.","Place the measuring staff on the points and use the leveling device to determine the height differences","将测量杖放在各点上，用水平仪确定高度差。"
"ID_waterpassing_question_2_answer","Het hoogteverschil kan gevonden worden door de middendraden te vergelijken van elk punt, hou rekening met het teken van de verschillen","Compare the middle lines","比较中间的线"
"ID_waterpassing_question_3_title","Bepaal het hoogteveschil tussen A & B","Calculate the height difference between A & B","计算A和B之间的高度差"
"ID_waterpassing_question_3_explanation","Plaats de meetbaken op de meetpunten en meet met het waterpastoestel het verschil tussen beide punten \nOpgelet, één van de baken staat omgekeerd.","Place the measuring staff on the points and use the leveling device to determine the height difference. \nPlease note that one point is above you.","将测量杖放在各点上，用水平仪确定高度差。\请注意，有一个点在你上面。"
"ID_waterpassing_question_3_answer","Het hoogteverschil kan gevonden worden door beide middendraden te vergelijken, let op het feit dat één omgekeerd staat.","Compare the middle lines","比较中间的线"
"ID_waterpassing_question_4_title","Bepaal de afstand tussen A & B","Calculate the distance between A & B","计算A和B之间的距离"
"ID_waterpassing_question_4_explanation","Plaats de meetbaken op de {nrOfPoints} meetpunten en gebruik het vizier om de afstand te berekenen.","Place the measuring staff on the points and use the leveling device to determine the distance","将测量杖放在各点上，用水平仪确定距离。"
"ID_waterpassing_question_4_answer","De afstand kan gevonden worden door de afstand tussen de boven-en onderdraad te meten","Use the upper and lower line of the laser","使用激光器的上、下线"
"ID_waterpassing_question_5_title","Bepaal de afstand tussen A & D","Calculate the distance between A & D","计算A和D之间的距离"
"ID_waterpassing_question_5_explanation","Plaats de meetbaken op de {nrOfPoints} meetpunten en gebruik het vizier om de afstand te bepalen.","Place a measuring staff on the points and use the leveling device to determine the distance between points A and D","将测量杖放在各点上，用水平仪确定A和D点之间的距离"
"ID_waterpassing_question_5_answer","De afstand kan gevonden worden door de afstand tussen de boven-en onderdraad te meten","Use the upper and lower line of the laser","使用激光器的上、下线"
"ID_waterpassing_question_6_title","Bepaal de collimatiefout van het toestel","Calculate the collimation error of the device","计算设备的准直误差"
"ID_waterpassing_question_6_explanation","Gebruik afstands- en hoogtemetingen om de collimatiefout van het waterpastoestel te bepalen. Je mag het toestel verplaatsen. \nGebruik de vuistregel 1mgon op 100m = 1.5mm","Use the distance and height measurements to determine the collimation error. You are allowed to move the device. \nUse the rule of thumb: 1mgon over 100m = 1.5mm.","使用距离和高度的测量值来确定准直误差。允许你移动设备。\使用经验法则：100米以上的1mgon=1.5mm。"
"ID_waterpassing_question_6_answer","De collimatiefout kan bepaald worden door het veschil in hoogte te vergelijken in functie van de afstand","The error can be found by checking the height diff over the distance.","通过检查距离上的高度差，可以发现误差。"
"ID_waterpassing_question_7_title","Vervolledig de waterpassingtabel","Complete the table","完成表格"
"ID_waterpassing_question_7_explanation","Voer alle noodzakelijke metingen uit en vul de juiste waardes in in de tabel.","Perform all measurements and enter the right values","进行所有的测量并输入正确的数值"
"ID_waterpassing_question_7_answer","Het hoogteverschil kan gevonden worden door de middendraden te vergelijken","Compare the middle lines to find the differences","比较中间的线，找出差异"
"ID_waterpassing_question_8_title","Vervolledig de waterpassingtabel met zijslag","Complete the table with a point of of the loop","用循环的一个点来完成这个表格"
"ID_waterpassing_question_8_explanation","Voer alle noodzakelijke metingen uit en vul de juiste waardes in in de tabel","Perform all measurements and enter the right values","执行所有的测量并输入正确的值"
"ID_waterpassing_question_8_answer","Het hoogteverschil kan gevonden worden door de middendraden te vergelijken","Compare the middle lines to find the differences","比较中间线以找出差异"
"ID_waterpassing_table_question_1_title","Bepaal het onvereffende peil van alle punten.","Determine the level of all points","确定所有点的水平"
"ID_waterpassing_table_question_1_explanation","Voer alle noodzakelijke metingen uit en vul de juiste waardes in in de tabel","Perform all measurements, enter them in the appropriate place in the table and compute the level of all points","进行所有的测量，将它们输入到表格的适当位置，并计算出所有点的水平线"
"ID_waterpassing_table_question_1_answer","Het hoogteverschil kan gevonden worden door de middendraden te vergelijken","Compare the middle lines to find the differences","比较中间线以找出差异"
"ID_waterpassing_table_question_2_title","Bereken de maximale sluitfout van de kringwaterpassing","Determine the maximum allowable residual error","确定最大允许的剩余误差"
"ID_waterpassing_table_question_2_explanation","σ 1kmHT van het toestel is: {sigma1kmHT} mm.","The accuracy (1km double run leveling) of the device is: {sigma1kmHT} mm","该设备的精度（1km双线运行平差）为。{sigma1kmHT}mm"
"ID_waterpassing_table_question_2_answer","Bepaal de afwijking over de hele lengte met de standaardformule.","Compare the middle lines to find the differences","比较中间的线，找出差异"
"ID_waterpassing_table_question_3_title","Bepaal het vereffende peil van alle punten.","Determine the final (adjusted) level of each point","确定每个点的最终（调整）水平"
"ID_waterpassing_table_question_3_explanation","Voer alle noodzakelijke metingen uit en vul de juiste waardes in in de tabel.","Use the residual error to settle each point.","用残余误差来结算每一个点。"
"ID_waterpassing_table_question_3_answer","Het hoogteverschil kan gevonden worden door de middendraden te vergelijken","Compare the middle lines to find the differences","比较中间的线，找出差异"
"ID_waterpassing_table_question_4_title","Bepaal het vereffende peil van alle punten, rekening houdend met de zijslag.","Determine the final (adjusted) level of each point","确定每个点的最终（调整）水平"
"ID_waterpassing_table_question_4_explanation","Voer alle noodzakelijke metingen uit en vul de juiste waardes in in de tabel","Use the residual error to settle each point, take the side shot into account.","使用残余误差来解决每一个点，考虑到侧面射击的情况。"
"ID_waterpassing_table_question_4_answer","Het hoogteverschil kan gevonden worden door de middendraden te vergelijken","Compare the middle lines to find the differences","比较中间的线，找出差异"
"ID_waterpassing_table_question_5_title","Bereken de vertrouwensgrenzen van het peil van alle punten","Determine the confidence interval of all points","确定所有点的置信区间"
"ID_waterpassing_table_question_5_explanation","σ 1kmHT van het toestel is: {sigma1kmHT} mm.","The accuracy (1km double run leveling) of the device is: {sigma1kmHT} mm","该设备的精度（1km的双倍运行水平）是。{sigma1kmHT}mm"
"ID_waterpassing_table_question_5_answer","Bepaal de afwijking over over elk punt apart met de standaardformule.","Compare the middle lines to find the differences","比较中间的线，找出差异"
"ID_scheefstand_question_1_title","Bepaal het hoogteverschil tussen A & B","Calculate the height difference between A & B by rotating the theolodite","通过旋转经纬仪计算出A和B之间的高度差。"
"ID_scheefstand_question_1_explanation","Plaats de meetbaken op de meetpunten en meet met de theodoliet het verschil tussen beide punten.","Place a measuring staff on the points and use the theodolite to determine the height difference","在两点上放置一根测量杖，用经纬仪确定高度差。"
"ID_scheefstand_question_1_answer","Het hoogteverschil kan gevonden worden door beide middendraden te vergelijken","Compare the middle lines","比较中间的线"
"ID_scheefstand_question_2_title","Bepaal de scheefstand van het gebouw","Determine the slant of the building","确定建筑物的倾斜度"
"ID_scheefstand_question_2_explanation","Plaats de theodoliet en meet de horizontale verschuiving tussen beide punten, gemeten van onder naar boven. Gebruik de 'doorslag' knop om een tweede meting te maken en een eventuele inclinatiefout op te heffen.","Use the theodolite to measure the horizontal distance between top and bottom point. Use the 'transit' button to eliminate any inclination error the device may have.","使用经纬仪测量顶点和底点之间的水平距离。使用“经纬仪”按钮消除任何设备可能存在的倾斜误差。"
"ID_scheefstand_question_2_answer","De scheefstand kan gevonden worden door de onderste meetband te vergelijken met de laserlijn","Compare the bottom point with the laserline","将底点与激光线进行比较"
"ID_foutenpropagatie_question_1_title","Bepaal de standaardafwijking van P gemeten vanaf A","Calculate the standard deviation from A to P","计算A到P的标准偏差"
"ID_foutenpropagatie_question_1_explanation","Bereken aan de hand van de gegeven toestelkarakteristieken de invloed van hoekfout en afstandsfout op de coördinaten van P en bepaal wat de grootste is. Dit is de halve grote as van de resulterende foutenellips.","Use the angle and distance specifications to determine the largest error. Compute the influence of both on the coordinates of the unknown point and determine the largest of the two.","使用角度和距离规范确定最大误差。计算对未知点坐标的影响并确定两者中的最大值。"
"ID_foutenpropagatie_question_1_answer","de grootste waarde kan je ook waarnemen op het speelveld.","Use the visual aid to determine the largest offset.","使用视觉辅助工具确定最大偏移。"
"ID_foutenpropagatie_question_2_title","Bepaal de totale fout van P gemeten van A","Determine the total error from A to P","确定A到P的总误差"
"ID_foutenpropagatie_question_2_explanation","Bereken de totale fout van de errorellips.<b>(σₐ)</b> \nGebruik de vuistregel 1mgon op 100m = 1.5mm","Calculate the total error <b>(σₐ)</b> \nUse the rule of thumb: 1mgon over 100m = 1.5mm.","计算总误差 <b>(σₐ)</b>"
"ID_foutenpropagatie_question_2_answer","gebruik de vaste en variablele afstandsfout.","use both distance errors","使用经验法则：1毫弧米/100米 = 1.5毫米。"
"ID_foutenpropagatie_question_3_title","Bepaal P gemeten vanaf A met een zo klein mogelijke errorellips","Measure the point P from A with the smallest possible error","使用两个距离误差"
"ID_foutenpropagatie_question_3_explanation","Kies zorgvuldig tussenopstelling om de fout zo klein mogelijk te houden.","Position the station and intermediate points carefully to measure P as accurately as possible.","以最小误差测量点P"
"ID_foutenpropagatie_question_3_answer","probeer de afstand zo laag mogelijk te houden","Try to keep the distance as low as possible","仔细安置测量站和中间点，以尽可能精确地测量P。"
"ID_foutenpropagatie_question_4_title","Bepaal de totale fout van de errorellips naar P vanuit A met de kleinst mogelijke foutenellips","Measure the point P from A with the smallest possible error","以最小误差测量点P"
"ID_foutenpropagatie_question_4_explanation","Plaats het totaalstation en tussenopstellingen zorgvuldig om zo de fout zo klein mogelijk te maken. Bereken de totale fout <b>(σₐ)</b> \nGebruik de vuistregel 1mgon op 100m = 1.5mm","Position the station and intermediate points carefully to measure A as accurately as possible. Calculate the total error <b>(σₐ)</b>\nUse the rule of thumb: 1mgon over 100m = 1.5mm.","仔细安置测量站和中间点，以尽可能精确地测量A。 计算总误差 <b>(σₐ)</b> 使用经验法则：1毫弧米/100米 = 1.5毫米。"
"ID_foutenpropagatie_question_4_answer","Houd rekening met de verschillende componenten van te opstelpunten.","keep all the different components of the errorellipses in mind","记住误差椭圆的所有不同部分"
"ID_kaarthoek_question_1_title","Bepaal de kaarthoek","Determine the map angle","确定地图角"
"ID_kaarthoek_question_1_explanation","van het punt P naar het opstelpunt in de oorsprong.","from point P to the station","从点P到站点"
"ID_kaarthoek_question_1_answer","De kaarthoek wordt gemeten vanaf het noorden naar P in wijzerzin","the mapangle is measured clockwise starting north","地图角度从北开始顺时针测量"
"ID_kaarthoek_question_2_title","Bepaal de coördinaten van het punt P.","Determine the XY coordinates of P","确定P的XY坐标"
"ID_kaarthoek_question_2_explanation","Het totaalstation staat opgesteld in (0,0).","The station is at (0,0)","站点在(0,0)"
"ID_kaarthoek_question_2_answer","De coördinaten kunnen bepaald worden via een hoekmeting en een afstand","Use the angle and distance to calculate the point","使用角度和距离计算点"
"ID_kaarthoek_question_3_title","Bepaal de coördinaten van het punt P door te meten vanuit A.","Position a total station where you want and determine the coordinates of point P","在你想要的地方安装总站并确定点P的坐标"
"ID_kaarthoek_question_3_explanation","A = x: {otherPointsPositions[0]*} m, y: {otherPointsPositions[1]*} m.","Coordinates of A: \nx: {otherPointsPositions[0]*} m, y: {otherPointsPositions[1]*} m.","A的坐标：x: {otherPointsPositions[0]} m, y: {otherPointsPositions[1]} m。"
"ID_kaarthoek_question_3_answer","De coördinaten kunnen bepaald worden via een hoekmeting en een afstand","Use the angle and distance to calculate the point","使用角度和距离计算点"
"ID_kaarthoek_question_4_title","Bepaal de afstand tussen de punten P & A","Use the total station in (0,0) to determine the distance between points P and A","使用(0,0)中的总站确定点P和A之间的距离"
"ID_kaarthoek_question_4_explanation","Bereken de Euclidische afstand ||AP||.","Calculate the Euclidian distance ||AP||","计算欧几里得距离||AP||"
"ID_kaarthoek_question_4_answer","Bepaal de Euclidische afstand door beide coördinaten te berekenen","determine the coördinates first","先确定坐标"
"ID_kaarthoek_question_5_title","Bepaal de coördinaten van het punt P","Determine the coordinates of P","确定P的坐标"
"ID_kaarthoek_question_5_explanation","Bepaal P in het rode assenstelsel door te meten met het totaalstation dat opgesteld staat in het blauwe assenstelsel.","Determine the coordinates of P in the red coordinate system, using the total station, oriented in the blue coordinate system.","使用总站，在蓝色坐标系中定向，确定P在红色坐标系中的坐标。"
"ID_kaarthoek_question_5_answer","Gebruik de assen van het verdraaide assenstelsel om de kaarthoek te berekenen","Use the angle and distance to calculate the point","使用角度和距离计算点"
"ID_polygonatie_question_1_title","Bepaal P aan de hand van een voorwaartse insnijding.","Determine P using an intersection from A and B","使用A和B的交点确定P"
"ID_polygonatie_question_1_explanation","A = x: {otherPointsPositions[0]*} m, y: {otherPointsPositions[1]*} m. \nB = x: {otherPointsPositions[2]*} m, y: {otherPointsPositions[3]*} m.","A = x: {otherPointsPositions[0]*} m, y: {otherPointsPositions[1]*} m. \nB = x: {otherPointsPositions[2]*} m, y: {otherPointsPositions[3]*} m.","A = x: {otherPointsPositions[0]} m, y: {otherPointsPositions[1]} m。B = x: {otherPointsPositions[2]} m, y: {otherPointsPositions[3]} m。"
"ID_polygonatie_question_1_answer","meet de hoeken en bereken het coordinaat via de sinusregel en Pythagoras","Measure the angles and use Pythagoras and the sine-rule.","测量角度并使用勾股定理和正弦定理。"
"ID_polygonatie_question_2_title","Bepaal P aan de hand van een achterwaartse insnijding.","Determine P using a resection from A, B and C","使用A，B和C的重新观测确定P"
"ID_polygonatie_question_2_explanation","A = x: {otherPointsPositions[0]*} m, y: {otherPointsPositions[1]*} m. \nB = x: {otherPointsPositions[2]*} m, y: {otherPointsPositions[3]*} m. \nC = x: {otherPointsPositions[4]*} m, y: {otherPointsPositions[5]*} m.","A = x: {otherPointsPositions[0]*} m, y: {otherPointsPositions[1]*} m. \nB = x: {otherPointsPositions[2]*} m, y: {otherPointsPositions[3]*} m. \nC = x: {otherPointsPositions[4]*} m, y: {otherPointsPositions[5]*} m.","A = x: {otherPointsPositions[0]} m, y: {otherPointsPositions[1]} m。B = x: {otherPointsPositions[2]} m, y: {otherPointsPositions[3]} m。C = x: {otherPointsPositions[4]} m, y: {otherPointsPositions[5]} m。"
"ID_polygonatie_question_2_answer","meet de hoeken en bereken het coordinaat via de sinusregel en Pythagoras","Measure the angles and use Pythagoras and the sine-rule.","测量角度并使用勾股定理和正弦定理。"
"ID_polygonatie_question_3_title","Vervolledig de polygonatietabel","Complete the traverse table","完成横断面表"
"ID_polygonatie_question_3_explanation","P = x: {calculatePointsPositions[0]*} m, y: {calculatePointsPositions[1]*} m. \nA = x: {calculatePointsPositions[2]*} m, y: {calculatePointsPositions[3]*} m.","P = x: {calculatePointsPositions[0]*} m, y: {calculatePointsPositions[1]*} m. \nA = x: {calculatePointsPositions[2]*} m, y: {calculatePointsPositions[3]*} m.","P = x: {calculatePointsPositions[0]} m, y: {calculatePointsPositions[1]} m。A = x: {calculatePointsPositions[2]} m, y: {calculatePointsPositions[3]} m。"
"ID_polygonatie_question_3_answer","Vind alle punten","calculate all the Coördinates","计算所有坐标"
"ID_polygonatie_question_4_title","Bepaal P aan de hand van een bilateratie naar A en B.","Determine P from A and B using a bilateration","使用A和B的双边测量确定P"
"ID_polygonatie_question_4_explanation","A = x: {otherPointsPositions[0]*} m, y: {otherPointsPositions[1]*} m. \nB = x: {otherPointsPositions[2]*} m, y: {otherPointsPositions[3]*} m.","A = x: {otherPointsPositions[0]*} m, y: {otherPointsPositions[1]*} m. \nB = x: {otherPointsPositions[2]*} m, y: {otherPointsPositions[3]*} m.","A = x: {otherPointsPositions[0]} m, y: {otherPointsPositions[1]} m。B = x: {otherPointsPositions[2]} m, y: {otherPointsPositions[3]} m。"
"ID_polygonatie_question_4_answer","Je hebt een gegeven te veel, gebruik dat om te vereffenen","Use the extra information to level the calculations","使用额外信息平衡计算"
